t_ms,thrust_raw_N,thrust_filt_N
1,3.2385,3.2385
11,3.3901,3.2688
23,2.6007,3.1352
34,-1.2711,2.2539
46,-4.4456,0.914
58,-5.6775,-0.4043
70,-6.0806,-1.5395
82,-5.8874,-2.4091
94,-5.6842,-3.0641
105,-5.6786,-3.587
117,-5.8066,-4.0309
129,-5.8976,-4.4043
141,-5.7347,-4.6704
153,-5.7841,-4.8931
165,-5.7448,-5.0635
176,-5.7796,-5.2067
188,-5.8897,-5.3433
200,-5.9503,-5.4647
212,-6.0862,-5.589
224,-6.0402,-5.6792
236,-5.8088,-5.7052
247,-5.9144,-5.747
259,-6.0244,-5.8025
271,-5.8515,-5.8123
283,-5.819,-5.8136
295,-5.911,-5.8331
307,-6.057,-5.8779
318,-6.194,-5.9411
330,-6.1244,-5.9778
342,-6.1839,-6.019
354,-6.1424,-6.0437
366,-6.3377,-6.1025
378,-6.3254,-6.1471
389,-6.039,-6.1255
401,-5.9503,-6.0904
413,-6.1278,-6.0979
425,-5.9986,-6.078
437,-6.0009,-6.0626
449,-5.9492,-6.0399
460,-5.8639,-6.0047
472,-6.0637,-6.0165
484,-6.2176,-6.0567
496,-6.1996,-6.0853
508,-6.2513,-6.1185
520,-6.3501,-6.1648
531,-6.2917,-6.1902
543,-6.066,-6.1654
555,-6.103,-6.1529
567,-6.0222,-6.1268
579,-6.2153,-6.1445
591,-6.3153,-6.1786
603,-6.2165,-6.1862
614,-6.4276,-6.2345
626,-6.6084,-6.3093
638,-6.5286,-6.3531
650,-6.514,-6.3853
662,-6.5376,-6.4158
674,-6.3591,-6.4044
685,-6.1929,-6.3621
697,-6.1367,-6.317
709,-6.0413,-6.2619
721,-6.0402,-6.2175
733,-6.2861,-6.2313
745,-6.3029,-6.2456
756,-6.0581,-6.2081
768,-5.9166,-6.1498
780,-5.8863,-6.0971
792,-6.0649,-6.0907
804,-6.0548,-6.0835
816,-5.984,-6.0636
827,-5.8549,-6.0218
839,-5.8931,-5.9961
851,-6.002,-5.9973
863,-5.8897,-5.9758
875,-6.0076,-5.9821
887,-5.9829,-5.9823
898,-5.9391,-5.9736
910,-5.9829,-5.9755
922,-5.9054,-5.9615
934,-5.7606,-5.9213
946,-5.7302,-5.8831
958,-5.8324,-5.873
969,-6.0244,-5.9033
981,-5.9458,-5.9118
993,-5.8313,-5.8957
1005,-5.7942,-5.8754
1017,-5.8538,-5.8711
1029,-5.9717,-5.8912
1040,-5.819,-5.8767
1052,-5.7987,-5.8611
1064,-6.0301,-5.8949
1076,-6.1603,-5.948
1088,-6.2165,-6.0017
1100,-6.112,-6.0238
1111,-5.8751,-5.994
1123,-6.0076,-5.9967
1135,-6.0929,-6.016
1147,-5.9694,-6.0067
1159,-5.9492,-5.9952
1171,-6.02,-6.0001
1182,-6.0166,-6.0034
1194,-6.2614,-6.055
1206,-6.0963,-6.0633
1218,-6.0054,-6.0517
1230,-6.1525,-6.0718
1242,-6.1839,-6.0943
1253,-6.1008,-6.0956
1265,-6.0682,-6.0901
1277,-6.1075,-6.0936
1289,-6.0042,-6.0757
1301,-6.1693,-6.0944
1313,-6.1974,-6.115
1325,-5.9402,-6.0801
1336,-5.847,-6.0335
1348,-5.9122,-6.0092
1360,-6.1311,-6.0336
1372,-6.2603,-6.0789
1384,-5.9492,-6.053
1396,-5.8032,-6.003
1407,-5.7909,-5.9606
1419,-5.801,-5.9287
1431,-5.9694,-5.9368
1443,-6.0952,-5.9685
1455,-6.3366,-6.0421
1467,-6.4208,-6.1179
