missionTime,thrust
4854,0.01
4954,0.02
5054,0.02
5154,0.03
5254,0.10
5354,-0.18
5454,-0.91
5554,-1.20
5654,-1.27
5754,-1.36
5854,-1.05
5954,-0.50
6054,-0.10
6154,0.02
6254,0.02
6354,0.02
6454,0.07
6554,0.03
6654,0.04
6754,0.20
6854,0.15
6954,0.10
7054,0.21
7154,-0.11
7254,0.03
7354,0.07
7454,0.11
7554,0.16
7654,0.17
7754,0.06
7854,0.05
7954,0.05
8054,0.04
8154,0.04
8254,0.05
8354,0.05
8454,0.08
8554,-0.04
8654,0.02
8754,-0.03
8854,0.04
8954,0.04
9054,0.05
9154,0.05
9254,0.04
9354,0.04
9454,0.03
9554,0.05
9654,0.04
9754,0.03
9854,0.03
9954,0.03
10054,0.04
10154,0.03
10254,0.04
10354,0.04
10454,0.04
10554,0.04
10654,0.05
10754,0.04
10854,0.04
10954,0.04
11054,0.05
11154,0.04
11254,0.05
11354,0.03
11454,0.05
11554,0.05
11654,0.05
11754,0.04
11854,0.04
11954,0.05
12054,0.04
12154,0.03
12254,0.03
12354,0.03
12454,0.04
12554,0.04
12654,0.03
12754,0.03
12854,0.04
12954,0.11
13054,0.11
13154,0.04
13254,0.05
13354,0.05
13454,0.06
13554,0.05
13654,0.08
13754,0.02
13854,0.03
13954,0.03
14054,0.03
14154,0.07
14254,0.10
14354,0.10
14454,0.11
14554,0.10
14654,0.14
14754,0.14
14854,0.14
14954,0.10
15054,0.07
15154,0.03
15254,0.04
15354,0.13
15454,0.11
15554,0.11
15654,0.11
15754,0.10
15854,0.09
15954,0.09
16054,0.09
16154,0.10
16254,0.09
16354,0.09
16454,0.09
16554,0.09
16654,0.10
16754,0.10
16854,0.09
16954,0.10
17054,0.08
17154,0.02
17254,0.02
17354,0.10
17454,0.10
17554,0.09
17654,0.10
17754,0.10
17854,0.09
17954,0.10
18054,0.10
18154,0.10
18254,0.10
18354,0.10
18454,0.10
18554,0.10
18654,0.10
18754,0.09
18854,0.11
18954,0.09
19054,0.10
19154,0.09
19254,0.10
19354,0.11
19454,0.14
19554,0.06
19654,0.09
19754,0.09
19854,0.07
19954,0.08
20054,0.11
20154,0.10
20254,0.08
20354,0.08
20454,0.08
20554,0.08
20654,0.08
20754,0.09
20854,0.10
20954,0.06
21054,0.05
21154,0.05
21254,0.03
21354,0.05
21454,0.04
21554,0.06
21654,0.03
21754,0.06
21854,0.06
21954,0.04
22054,0.06
22154,0.04
22254,0.04
22354,0.03
2836,0.04
2936,0.04
3036,0.04
3136,0.04
3236,0.04
3336,0.04
3436,0.05
3536,0.04
3636,0.04
3736,0.04
3836,0.05
3936,0.04
4036,0.04
4136,0.05
4236,0.03
4336,0.07
4436,0.06
4536,0.05
4636,0.04
4736,0.04
4836,0.04
4936,0.03
5036,0.03
5136,0.04
5236,0.03
5336,0.04
5436,0.05
5536,0.04
5636,0.02
5736,0.00
5836,0.02
5936,0.02
6036,0.02
6136,0.03
6236,0.04
6336,0.03
6436,0.04
6536,0.03
6636,0.03
6736,0.02
6836,0.01
6936,0.01
7036,0.02
7136,0.03
7236,0.02
7336,0.01
7436,0.03
7536,0.01
7636,0.02
7736,0.02
7836,0.02
7936,0.03
8036,0.02
8136,0.02
8236,0.02
8336,0.02
8436,0.03
8536,0.03
8636,0.03
8736,0.03
8836,0.02
8936,0.01
9036,0.01
9136,0.01
9236,0.02
9336,0.04
9436,0.03
9536,0.05
9636,0.04
9736,0.02
9836,0.02
9936,0.01
10036,0.02
10136,0.01
10236,0.02
10336,0.01
10436,0.01
10536,0.01
10636,0.02
10736,0.02
10836,0.01
10936,0.02
11036,0.02
11136,0.01
11236,-0.01
11336,0.01
11436,0.01
11536,0.00
11636,0.01
11736,0.01
11836,0.01
11936,-0.01
12036,0.01
12136,0.01
12236,-0.01
12336,0.01
12436,0.00
12536,0.00
12636,0.01
12736,-0.01
12836,0.00
12936,-0.00
13036,-0.00
13136,-0.00
13236,0.00
13336,-0.01
13436,-0.00
13536,-0.00
13636,-0.01
13736,-0.00
13836,-0.01
13936,-0.00
14036,-0.01
14136,-0.02
14236,-0.02
14336,-0.01
14436,-0.02
14536,-0.00
14636,-0.02
14736,-0.02
14836,-0.01
14936,-0.00
15036,-0.01
15136,-0.01
15236,-0.02
15336,-0.02
15436,-0.03
15536,-0.03
15636,-0.01
15736,0.01
15836,-0.01
15936,-0.02
16036,-0.02
16136,-0.01
16236,0.00
16336,0.13
16436,0.11
16536,-0.03
16636,-0.02
16736,-0.03
16836,-0.03
16936,-0.03
17036,-0.02
17136,-0.04
17236,-0.03
17336,-0.03
17436,-0.03
17536,-0.04
17636,-0.03
17736,-0.04
17836,-0.03
17936,-0.03
18036,-0.03
18136,-0.03
18236,-0.04
18336,-0.04
18436,-0.03
18536,-0.03
18636,0.01
18736,0.01
18836,0.03
18936,0.04
19036,0.03
19136,0.03
19236,0.04
19336,0.06
19436,0.07
19536,0.05
19636,0.06
19736,0.03
19836,0.03
19936,0.02
20036,0.03
20136,0.04
20236,0.03
20336,0.02
20436,0.03
20536,0.02
20636,0.00
20736,0.05
20836,0.04
20936,0.04
21036,0.04
21136,0.05
21236,0.05
21336,0.04
21436,0.05
21536,0.06
21636,0.05
21736,0.05
21836,0.06
21936,0.02
22036,0.02
22136,0.04
22236,0.01
22336,-0.01
22436,0.01
22536,0.02
22636,0.04
22736,0.02
22836,0.02
22936,0.03
23036,0.04
23136,0.04
23236,0.02
23336,0.00
23436,0.00
23536,-0.02
23636,-0.02
23736,-0.02
23836,-0.01
23936,-0.02
24036,-0.02
24136,-0.02
24236,-0.01
24336,-0.01
24436,-0.01
24536,-0.02
24636,-0.03
24736,-0.01
24836,-0.02
24936,-0.02
25036,-0.02
25136,-0.03
25236,-0.03
25336,-0.02
25436,-0.03
25536,-0.02
25636,-0.03
25736,-0.02
25836,-0.03
25936,-0.03
26036,-0.03
26136,-0.03
26236,-0.02
26336,-0.03
26436,-0.03
26536,-0.03
26636,-0.03
26736,-0.03
26836,-0.02
26936,-0.02
27036,-0.03
27136,-0.04
27236,-0.04
27336,-0.04
27436,-0.03
27536,-0.03
27636,-0.04
27736,-0.04
27836,-0.03
27936,-0.04
28036,-0.02
28136,-0.03
28236,-0.03
28336,-0.03
28436,-0.01
28536,-0.03
28636,-0.01
28736,-0.04
28836,-0.04
28936,-0.03
29036,-0.04
29136,-0.04
29236,-0.03
29336,-0.02
29436,-0.03
29536,-0.02
29636,-0.03
29736,-0.02
29836,-0.02
29936,-0.03
30036,-0.03
30136,-0.02
30236,-0.02
30336,-0.03
30436,-0.02
30536,-0.02
30636,-0.03
30736,-0.02
30836,-0.02
30936,-0.02
31036,-0.02
31136,-0.02
31236,-0.02
31336,-0.01
31436,-0.01
31536,-0.02
31636,-0.02
31736,-0.02
31836,-0.03
31936,-0.02
32036,-0.02
32136,0.00
32236,-0.01
32336,-0.01
32436,-0.02
32536,-0.03
32636,-0.01
32736,-0.03
32836,-0.02
32936,-0.01
